sex,age,region,agglomeration_type,personal_situation,main_profession,employment_status,internet_frequency,cultural_frequency,legality_type,legality_evolution,payment_type,monthly_spending,devices_films_series,vpn_usage,cracked_apps_usage,streaming_download_type,dns_settings_usage,paid_services_access,household_size,children_count,household_status,age_group,generation,children_count_numeric,household_size_numeric,has_children,family_stage,urbanity_bucket,internet_intensity_score,cultural_frequency_score,legality_score,payment_orientation_score,paid_access_score,vpn_score,dns_score,download_risk_score,cracked_apps_score,module_completion_rate,response_depth_score,engagement_score,risk_behavior_score,monetization_score,raw_content_paid_score,raw_content_category_count,raw_device_diversity,raw_illicit_channel_count,raw_illicit_frequency_mean,raw_illicit_method_count,raw_stream_ripping_score,raw_legal_offer_advantage_count,raw_legal_motivation_count,raw_behavioral_coverage_rate,content_depth_score,raw_risk_intensity_score,legal_value_perception_score,paying_user,hybrid_access_user,risky_behavior_user,payment_bucket,access_style,value_tier,high_value_user,under_monetized_engaged_user,consumer_segment,consumer_profile
Female,41,Grand Est,Petite ville (20k–50k hab.),actif,Professions intermédiaires commerciales et administratives,Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,Non,payante,Je ne sais pas ce que c’est,compte partagé,3 personnes,1,couple,35-49,Millennial,1,3,True,Family with children,Urban,7,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.45,0.0,0.1,1.0,2,6,0,0.0,0,5.0,0,0,0.060498220640569395,0.1306494661921708,5.0,0,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Female,60,Nouvelle-Aquitaine,Bourg / petite agglomération,chômeur,Ouvriers non qualifiés industriels,Salarié du privé ou association,Plusieurs fois par jour,,,,,0.0,,jamais,Non,payante,Je ne sais pas ce que c’est,,1 personne,Aucun,célibataire,50-64,Gen X,0,1,False,Single / other,Other,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.6,6,0.45,0.0,0.0,0.0,0,0,0,0.0,0,5.0,0,0,0.010676156583629894,0.003202846975088968,5.0,0,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,56,Provence-Alpes-Côte d’Azur,Petite ville (20k–50k hab.),retraite,"Policiers, militaires et gendarmes",,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,Non,payante,Je ne sais pas ce que c’est,,1 personne,Aucun,célibataire,50-64,Gen X,0,1,False,Single / other,Urban,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.6,6,0.45,0.0,0.0,1.0,1,0,0,0.0,0,5.0,0,0,0.014234875444839857,0.04177046263345195,5.0,0,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,64,Pays de la Loire,Rural isolé,retraite,Ouvriers de manutention et du transport,,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,gratuit,0.0,,régulièrement,Non,payante,Jamais,,1 personne,Aucun,célibataire,50-64,Boomer+,0,1,False,Single / other,Rural,7,3.0,1.0,1.0,0.0,3,0,0.0,0.0,0.9,9,0.7124999999999999,3.0,0.1,1.0,1,1,0,0.0,0,5.0,0,0,0.03558718861209965,0.05442615658362989,5.0,0,False,False,True,Free-oriented,Legal Free,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Male,59,Grand Est,Paris et grandes métropoles,actif,Employés de commerce,Salarié du privé ou association,1 fois par jour ou presque,1 à 5 fois par semaine,Légale,autant légale,gratuit,7.0,,jamais,Non,payante,Jamais,,1 personne,Aucun,célibataire,50-64,Gen X,0,1,False,Single / other,Metro,6,3.0,1.0,1.0,0.0,0,0,0.0,0.0,0.9,9,0.8482142857142856,0.0,0.4,1.6666666666666667,3,3,0,0.0,0,5.0,0,0,0.08540925266903915,0.15687277580071174,5.0,0,True,False,True,Free-oriented,Legal Free,Mid spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Female,36,Auvergne-Rhône-Alpes,Bourg / petite agglomération,actif,Employés administratifs d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,0.0,,occasionnellement,,,De temps en temps,abonné,2 personnes,Aucun,couple,35-49,Millennial,0,2,False,Couple without children,Other,7,0.0,0.0,0.0,2.0,2,1,0.0,0.0,0.5,5,0.45,3.0,0.2,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Female,42,Occitanie,Rural périurbain,actif,Employés de commerce,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,ancien utilisateur,,,Je ne sais pas ce que c’est,abonné,1 personne,Aucun,célibataire,35-49,Millennial,0,1,False,Single / other,Rural,7,4.0,1.0,0.0,2.0,1,0,0.0,0.0,0.7,7,0.8,1.0,0.2,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Female,56,Auvergne-Rhône-Alpes,Rural isolé,actif,Services directs aux particuliers,Salarié d’un particulier,1 fois par jour ou presque,,,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,compte partagé,1 personne,Aucun,célibataire,50-64,Gen X,0,1,False,Single / other,Rural,6,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.5,5,0.3857142857142857,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,5,0.0498220640569395,0.01494661921708185,0.0,5,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Female,49,Nouvelle-Aquitaine,Rural isolé,actif,Professions intermédiaires commerciales et administratives,Salarié de la Sécurité sociale,Plusieurs fois par jour,,,davantage légale,,0.0,,ancien utilisateur,,,Jamais,,2 personnes,1,célibataire,35-49,Gen X,1,2,True,Family with children,Rural,7,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.4,4,0.45,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Male,54,Hauts-de-France,Rural isolé,homme au foyer,,,1 fois par jour ou presque,,,,,0.0,,jamais,Non,payante,Jamais,,4 personnes,1,couple,50-64,Gen X,1,4,True,Family with children,Rural,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.6,6,0.3857142857142857,0.0,0.0,0.0,0,0,0,0.0,0,5.0,0,0,0.010676156583629894,0.003202846975088968,5.0,0,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Male,59,Nouvelle-Aquitaine,Petite ville (20k–50k hab.),actif,Cadres de la fonction publique,Salarié de l’État,Plusieurs fois par jour,,,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,,3 personnes,1,couple,50-64,Gen X,1,3,True,Family with children,Urban,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Male,50,Provence-Alpes-Côte d’Azur,Rural isolé,actif,"Techniciens (géomètres, dessinateurs, etc.)",Salarié du privé ou association,Plusieurs fois par jour,,,davantage légale,,19.0,Sur d’autres appareils,jamais,Non,Gratuit,Jamais,abonné,5 personnes,2,couple,50-64,Gen X,2,5,True,Family with children,Rural,7,0.0,0.0,0.0,2.0,0,0,3.0,0.0,0.7,7,0.65,3.0,0.5,1.0,3,2,0,0.0,0,1.0,0,0,0.06405693950177936,0.1442170818505338,1.0,0,True,False,False,Free-oriented,Unspecified,Mid spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Female,50,Île-de-France,Petite ville (20k–50k hab.),autre,,,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Urban,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,36,Pays de la Loire,Grande ville (100k–500k hab.),actif,Ouvriers non qualifiés industriels,Salarié d’un particulier,Plusieurs fois par jour,,,autant légale,,0.0,,régulièrement,,,De temps en temps,compte partagé,3 personnes,1,couple,35-49,Millennial,1,3,True,Family with children,Urban,7,0.0,0.0,0.0,1.0,3,1,0.0,0.0,0.5,5,0.45,4.0,0.1,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Male,45,Pays de la Loire,Grande ville (100k–500k hab.),actif,"Contremaîtres, agents de maîtrise",Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,ancien utilisateur,,,De temps en temps,compte partagé,4 personnes,2,couple,35-49,Gen X,2,4,True,Family with children,Urban,7,4.0,1.0,0.0,1.0,1,1,0.0,0.0,0.7,7,0.8,2.0,0.1,0.0,0,0,0,0.0,0,0.0,0,7,0.0498220640569395,0.01494661921708185,0.0,7,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Female,32,Hauts-de-France,Paris et grandes métropoles,actif,Employés administratifs d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,abonné,4 personnes,2,couple,25-34,Millennial,2,4,True,Family with children,Metro,7,4.0,1.0,0.0,2.0,0,0,0.0,0.0,0.7,7,0.8,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Female,33,Occitanie,Ville moyenne (50k–100k hab.),actif,Chefs d'entreprise de 10 salariés ou plus,Chef d'entreprise à son compte,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,davantage légale,,0.0,,occasionnellement,,,Jamais,abonné,4 personnes,2,couple,25-34,Millennial,2,4,True,Family with children,Urban,7,3.0,1.0,0.0,2.0,2,0,0.0,0.0,0.7,7,0.7124999999999999,2.0,0.2,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Female,37,Auvergne-Rhône-Alpes,Rural isolé,actif,"Professeurs des écoles, instituteurs",Salarié collectivité territoriale / HLM,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,régulièrement,,,Régulièrement,compte partagé,4 personnes,2,couple,35-49,Millennial,2,4,True,Family with children,Rural,7,4.0,1.0,0.0,1.0,3,2,0.0,0.0,0.7,7,0.8,5.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Female,35,Hauts-de-France,Rural isolé,actif,Artisans (moins de 10 salariés),Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,0.0,,occasionnellement,,,De temps en temps,compte partagé,2 personnes,Aucun,couple,35-49,Millennial,0,2,False,Couple without children,Rural,7,0.0,0.0,0.0,1.0,2,1,0.0,0.0,0.5,5,0.45,3.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Male,38,Île-de-France,Autres / hors unité urbaine,actif,Ingénieurs et cadres techniques d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,,0.0,,jamais,,,Jamais,abonné,5 personnes,3,couple,35-49,Millennial,3,5,True,Family with children,Other,7,3.0,1.0,0.0,2.0,0,0,0.0,0.0,0.7,7,0.7124999999999999,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Female,63,Pays de la Loire,Rural isolé,retraite,Employés civils et agents de service publics,,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,Non,2 personnes,Aucun,couple,50-64,Boomer+,0,2,False,Couple without children,Rural,7,4.0,1.0,0.0,0.0,0,0,0.0,0.0,0.7,7,0.8,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Female,55,Île-de-France,Rural isolé,actif,Cadres de la fonction publique,Salarié de l’État,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,moins légale,,0.0,,jamais,,,Jamais,compte partagé,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Rural,7,3.0,1.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.7124999999999999,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,64,Pays de la Loire,Ville moyenne (50k–100k hab.),actif,Professions intermédiaires commerciales et administratives,Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,,,Jamais,,2 personnes,Aucun,couple,50-64,Boomer+,0,2,False,Couple without children,Urban,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Female,63,Île-de-France,Autres / hors unité urbaine,actif,Employés administratifs d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,ancien utilisateur,,,Jamais,,3 personnes,Aucun,couple,50-64,Boomer+,0,3,False,Couple without children,Other,7,4.0,1.0,0.0,0.0,1,0,0.0,0.0,0.6,6,0.8,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0,5,0.0498220640569395,0.01494661921708185,0.0,5,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Male,37,Île-de-France,Autres / hors unité urbaine,actif,Ouvriers qualifiés de type industriel,Salarié du privé ou association,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,abonné,4 personnes,2,couple,35-49,Millennial,2,4,True,Family with children,Other,7,3.0,1.0,0.0,2.0,0,0,0.0,0.0,0.7,7,0.7124999999999999,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,6,0.0498220640569395,0.01494661921708185,0.0,6,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Male,50,Occitanie,Rural isolé,actif,Ouvriers de manutention et du transport,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,jamais,,,Jamais,,6 personnes,2,couple,50-64,Gen X,2,6,True,Family with children,Rural,7,4.0,1.0,0.0,0.0,0,0,0.0,0.0,0.6,6,0.8,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Male,64,Occitanie,Grande ville (100k–500k hab.),retraite,Employés civils et agents de service publics,,Plusieurs fois par jour,,,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,abonné,3 personnes,1,couple,50-64,Boomer+,1,3,True,Family with children,Urban,7,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.5,5,0.45,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | with children
Male,47,Auvergne-Rhône-Alpes,Petite ville (20k–50k hab.),actif,Artisans (moins de 10 salariés),Chef d'entreprise à son compte,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,,,De temps en temps,compte partagé,2 personnes,Aucun,couple,35-49,Gen X,0,2,False,Couple without children,Urban,7,0.0,0.0,0.0,1.0,0,1,0.0,0.0,0.5,5,0.45,1.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,61,Nouvelle-Aquitaine,Rural isolé,actif,Artisans (moins de 10 salariés),Chef d'entreprise à son compte,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,jamais,,,Jamais,compte partagé,2 personnes,Aucun,couple,50-64,Boomer+,0,2,False,Couple without children,Rural,7,4.0,1.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.8,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Male,25,Nouvelle-Aquitaine,Ville moyenne (50k–100k hab.),actif,Ouvriers non qualifiés industriels,Salarié du privé ou association,Plusieurs fois par jour,1 à 3 fois par mois,Légale,davantage légale,,0.0,,régulièrement,,,Régulièrement,compte partagé,4 personnes,2,couple,25-34,Gen Z,2,4,True,Family with children,Urban,7,2.0,1.0,0.0,1.0,3,2,0.0,0.0,0.7,7,0.625,5.0,0.1,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Male,64,Île-de-France,Autres / hors unité urbaine,actif,Professions intermédiaires commerciales et administratives,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,ancien utilisateur,,,Jamais,abonné,4 personnes,2,couple,50-64,Boomer+,2,4,True,Family with children,Other,7,4.0,1.0,0.0,2.0,1,0,0.0,0.0,0.7,7,0.8,1.0,0.2,0.0,0,0,0,0.0,0,0.0,0,5,0.0498220640569395,0.01494661921708185,0.0,5,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | with children
Female,50,Nouvelle-Aquitaine,Rural isolé,autre,,,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,,0.0,,jamais,,,Jamais,compte partagé,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Rural,7,3.0,1.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.7124999999999999,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,5,0.0498220640569395,0.01494661921708185,0.0,5,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
